Book_Name|Author|Release_Date|Rating|Number_of_Review
Personal (with bonus short story Not a Drill): A Jack Reacher Novel|Lee Child|Apr 28, 2015|3.8|7,338
The Homemade Vegan Pantry: The Art of Making Your Own Staples|Miyoko Schinner|Jun 16, 2015|4.9|8
Leadership and Self-Deception: Getting Out of the Box|Arbinger Institute|Jan 5, 2010|4.5|626
Countdown to Mecca: A Thriller|Michael Savage|May 12, 2015|4.3|80
The Sell: The Secrets of Selling Anything to Anyone|Fredrik Eklund and Bruce Littlefield|Apr 14, 2015|4.5|92
JJ Virgin's Sugar Impact Diet Cookbook: 150 Low-Sugar Recipes to Help You Lose Up to 10 Pounds in Just 2 Weeks|J.J. Virgin|May 26, 2015|4.7|36
Stick and Stone|Beth Ferry and Tom Lichtenheld|Apr 7, 2015|4.8|44
National Geographic Kids Almanac 2016|National Geographic Kids|May 12, 2015|4.6|11
Make Something Up: Stories You Can't Unread|Chuck Palahniuk|May 26, 2015|3.7|39
More Mexican Everyday: Simple, Seasonal, Celebratory|Rick Bayless and Deann Groen Bayless|Apr 27, 2015|4.9|14
The Art of Inside Out|Pete Docter and Amy Poehler|May 26, 2015|3.9|9
Kelly Tough: Live Courageously by Faith|Erin Kelly and Jill Kell|May 1, 2015|4.6|46
In the Kingdom of Ice: The Grand and Terrible Polar Voyage of the USS Jeannette|Hampton Sides|May 26, 2015|4.7|1,228
Disclaimer: A Novel|Renée Knight|May 19, 2015|4|119
The Cost of Courage|Charles Kaiser|Jun 16, 2015|5|18
2015 / 2016 ASVAB For Dummies with Online Practice|Rod Powers|May 4, 2015|4.1|7
The Mayo Clinic Handbook for Happiness: A Four-Step Plan for Resilient Living|Amit Sood MD and Mayo Clinic|Mar 31, 2015|4.4|10
So Many Roads: The Life and Times of the Grateful Dead|David Browne|Apr 28, 2015|4.6|19
Plant-Powered Families: Over 100 Kid-Tested, Whole-Foods Vegan Recipes|Dreena Burton|May 12, 2015|4.9|89
Kaplan ACT 2016 Strategies, Practice and Review with 6 Practice Tests: Book + Online + DVD (Kaplan Test Prep)|Kaplan|Jun 2, 2015||Study Skills
War Against All Puerto Ricans: Revolution and Terror in Americas Colony|Nelson A Denis|Apr 7, 2015|4.8|94
Finding Audrey|Sophie Kinsella|Jun 9, 2015|4|65
American Mojo: Lost and Found: Restoring our Middle Class Before the World Blows By|Peter D. Kiernan|Jun 9, 2015|4.1|8
The Scarlet Gospels|Clive Barker|May 19, 2015|3.3|161
Batman: Earth One Vol. 2|Geoff Johns and Gary Frank|May 12, 2015|4.8|28
Blueprints: A Novel|Barbara Delinsk|Jun 9, 2015|4|63
Red: A History of the Redhead|Jacky Colliss Harve|Jun 9, 2015|4.5|6
My Paris Dream: An Education in Style, Slang, and Seduction in the Great City on the Seine|Kate Betts|May 12, 2015|4.3|46
50 Things You Can Do With Google Classroom|Alice Keeler and Libbi Miller|May 1, 2015|4.2|
The China Study Quick & Easy Cookbook: Cook Once, Eat All Week with Whole Food, Plant-Based Recipes|Del Sroufe and LeAnne Campbell|May 19, 2015|4.5|13
Drinking with the Saints: The Sinner's Guide to a Holy Happy Hour|Michael P. Fole|May 4, 2015|4.8|32
The Official Guide for GMAT Review 2016 with Online Question Bank and Exclusive Video|GMAC (Graduate Management Admission Council)|Jun 8, 2015|4.8|5
How to Bake Pi: An Edible Exploration of the Mathematics of Mathematics|Eugenia Cheng|May 5, 2015|4.8|9
Peppa Pig: Peppa Goes Swimming|Scholastic and Eone|Apr 28, 2015|4.6|21
The Crossroads of Should and Must: Find and Follow Your Passion|Elle Luna|Apr 7, 2015|4.7|45
Top Secret Twenty-One: A Stephanie Plum Novel|Janet Evanovich|May 26, 2015|4.3|4,027
The Edge of the World: A Cultural History of the North Sea and the Transformation of Europe|Michael Pye|Apr 15, 2015|4.2|18
City of Heavenly Fire (The Mortal Instruments)|Cassandra Clare|May 5, 2015|4.7|3,280
Nemesis Games (The Expanse)|James S.A. Core|Jun 2, 2015|4.5|76
Data Science from Scratch: First Principles with Python|Joel Grus|Apr 30, 2015|4.8|8
Midnight's Furies: The Deadly Legacy of India's Partition|Nisid Hajari|Jun 9, 2015|4.2|34
The Broad Fork: Recipes for the Wide World of Vegetables and Fruits|Hugh Acheson and Rinne Allen|May 12, 2015|5|4
Inequality: What Can Be Done?|Anthony B. Atkinson|May 11, 2015|3.8|9
Endless Summer Cookbook|Katie Lee|Apr 14, 2015|4.8|34
Bourbon Empire: The Past and Future of Americas Whiskey|Reid Mitenbuler|May 12, 2015|4.8|16
The Outlandish Companion (Revised and Updated): Companion to Outlander, Dragonfly in Amber, Voyager, and Drums...|Diana Gabaldon|Mar 31, 2015|4.5|529
Creative Therapy: An Anti-Stress Coloring Book|Hannah Davies and Richard Merritt|May 26, 2015|4.6|17
I Will Always Write Back: How One Letter Changed Two Lives|Martin Ganda and Caitlin Alifirenka|Apr 14, 2015|4.8|43
In Defense of a Liberal Education|Fareed Zakaria|Mar 30, 2015|4.4|109
The ABCs of Success: The Essential Principles from America's Greatest Prosperity Teacher|Bob Proctor|Jun 9, 2015|5|36
The Legend of Zelda: A Link to the Past|Shotaro Ishinomori|May 5, 2015|4.7|62
Pete the Cat's Groovy Guide to Life|James Dean and Kimberly Dean|Apr 7, 2015|4.7|50
Inside Out Box of Mixed Emotions|Disney Book Group|May 5, 2015|5|7
Big Data Baseball: Math, Miracles, and the End of a 20-Year Losing Streak|Travis Sawchik|May 19, 2015|4.6|17
Rat Queens Volume 2: The Far Reaching Tentacles of N'Rygoth|Kurtis J. Wiebe and Roc Upchurch|May 19, 2015|4.8|16
The Whole-Brain Child Workbook: Practical Exercises, Worksheets and Activities to Nurture Developing Minds|Daniel J. Siegel and Tina Payne Bryson|Jun 1, 2015|4.2|5
Cracking the GRE with 4 Practice Tests, 2016 Edition (Graduate School Test Preparation)|Princeton Review|Jun 2, 2015|4.1|50
The Cannabis Encyclopedia: the definitive guide to cultivation & consumption of medical marijuana|Jorge Cervantes|Apr 20, 2015|4.9|102
The Journey Home: My Life in Pinstripes|Jorge Posada|May 12, 2015|4.3|24
We Don't Need Roads: The Making of the Back to the Future Trilogy|Caseen Gaines|Jun 23, 2015|4|2
Do Over: Rescue Monday, Reinvent Your Work, and Never Get Stuck|Jon Acuff|Apr 7, 2015|4.8|219
The Expectant Father: Facts, Tips, and Advice for Dads-to-Be|Armin A. Brott and Jennifer Ash|May 26, 2015||
Infuse: Oil, Spirit, Water|Eric Prum and Josh Williams|May 19, 2015|4.1|14
Lords of the Sith: Star Wars|Paul S. Kemp|Apr 28, 2015|4|191
Tone It Up: 28 Days to Fit, Fierce, and Fabulous|Karena Dawn and Katrina Scott|May 5, 2015|4.2|66
Natural Born Heroes: How a Daring Band of Misfits Mastered the Lost Secrets of Strength and Endurance|Christopher McDougall|Apr 14, 2015|4.2|104
Nobody's Cuter than You: A Memoir about the Beauty of Friendship|Melanie Shankle|Apr 7, 2015|4.9|155
Darth Vader and Friends (Star Wars)|Jeffrey Brown|Apr 28, 2015|4.1|19
A Man Called Ove: A Novel|Fredrik Backman|May 5, 2015|4.6|767
The Real-Life MBA: Your No-BS Guide to Winning the Game, Building a Team, and Growing Your Career|Jack Welch and Suzy Welch|Apr 14, 2015|4.3|63
Simple Rules: How to Thrive in a Complex World|Donald Sull and Kathleen M. Eisenhardt|Apr 21, 2015|4.4|74
Clinical Dermatology: A Color Guide to Diagnosis and Therapy, 6e|Thomas P. Habif MD|Jun 9, 2015||Dermatology
The Children Act|Ian McEwan|Apr 28, 2015|4|1,094
Nelson Textbook of Pediatrics, 2-Volume Set, 20e|Robert M. Kliegman MD and Bonita M.D. Stanton MD|May 6, 2015|3.6|8
In the Country: Stories|Mia Alvar|Jun 16, 2015|4.7|18
Texas Rising: The Epic True Story of the Lone Star Republic and the Rise of the Texas Rangers, 1836-1846|Stephen L. Moore|May 12, 2015|3.7|13
Street Vegan: Recipes and Dispatches from The Cinnamon Snail Food Truck|Adam Sobel|May 5, 2015|4.7|43
Lumberjanes Vol. 1|Noelle Stevenson and Grace Ellis|Apr 7, 2015|4.6|20
Losing the Signal: The Untold Story Behind the Extraordinary Rise and Spectacular Fall of BlackBerry|Jacquie McNish and Sean Silcoff|May 26, 2015|4.5|22
Leave Your Mark: Land Your Dream Job. Kill It in Your Career. Rock Social Media.|Aliza Licht|May 5, 2015|5|27
The Strange Case of the Rickety Cossack: and Other Cautionary Tales from Human Evolution|Ian Tattersall|Jun 9, 2015|4|1
Proud to Be An American|Lee Greenwood|May 25, 2015|5|22
The Real Simple Guide to Real Life: Adulthood made easy.|Editors of Real Simple Magazine and Kristin van Ogtrop|Apr 7, 2015|4.3|26
The Story of Alice: Lewis Carroll and the Secret History of Wonderland|Robert Douglas-Fairhurst|Jun 1, 2015|5|2
You: A Novel|Caroline Kepnes|Jun 16, 2015|4.1|471
The Hard Hat: 21 Ways to Be a Great Teammate|Jon Gordon and Jeremy Schaap|May 4, 2015|5|11
Star Wars Crochet (Crochet Kits)|Lucy Collin|May 12, 2015|4.6|47
I Know How She Does It: How Successful Women Make the Most of Their Time|Laura Vanderkam|Jun 9, 2015|4.5|19
The 5-Minute Clinical Consult Standard 2016: Print + 10-Day Web Trial Access (The 5-Minute Consult Series)|Frank J. Domino MD and Robert A. Baldor MD|May 28, 2015||Diseases
Southern Living Ultimate Book of BBQ: The Complete Year-Round Guide to Grilling and Smoking|The Editors of Southern Living and Chris Prieto|Apr 7, 2015|4.9|41
Charlotte Moss: Garden Inspirations|Charlotte Moss and Barry Friedberg|Apr 14, 2015|4.9|17
No Ordinary Disruption: The Four Global Forces Breaking All the Trends|Richard Dobbs and James Manyika|May 12, 2015|4.1|20
Wages of Rebellion|Chris Hedges|May 12, 2015|4.2|17
The End of Plenty: The Race to Feed a Crowded World|Joel K. Bourne Jr|Jun 15, 2015|5|3
The Upright Thinkers: The Human Journey from Living in Trees to Understanding the Cosmos|Leonard Mlodinow|May 5, 2015|4.4|28
Getting There: A Book of Mentors|Gillian Zoe Segal|Apr 14, 2015|4.9|71
The Soul of an Octopus: A Surprising Exploration into the Wonder of Consciousness|Sy Montgomer|May 12, 2015|4.6|27
How Music Got Free: The End of an Industry, the Turn of the Century, and the Patient Zero of Piracy|Stephen Witt|Jun 16, 2015|4.2|33
The Farmer's Wife 1930s Sampler Quilt: Inspiring Letters from Farm Women of the Great Depression and 99 Quilt...|Laurie Aaron Hird|Jun 12, 2015|4.9|8
The Sound of Glass|Karen White|May 12, 2015|4.6|253
Searching for Sunday: Loving, Leaving, and Finding the Church|Rachel Held Evans|Apr 14, 2015|4.6|195
Baltimore Orioles: 60 Years of Orioles Magic|Jim Henneman and Jim Palmer|May 26, 2015|4.8|6
The Game: Inside the Secret World of Major League Baseball's Power Brokers|Jon Pessah|May 5, 2015|4.6|38
Men of War: The American Soldier in Combat at Bunker Hill, Gettysburg, and Iwo Jima|Alexander Rose|Jun 9, 2015|4.4|23
Trisha's Table: My Feel-Good Favorites for a Balanced Life|Trisha Yearwood and Beth Yearwood Bernard|Mar 31, 2015|4.6|135
The Land of Stories: A Grimm Warning|Chris Colfer|Jun 9, 2015|5|2
The Worst Class Trip Ever|Dave Barr|May 5, 2015|4.5|24
Hunters in the Dark (HALO)|Peter David|Jun 16, 2015|3.8|5
Red Book 2015: Report of the Committee on Infectious Diseases (Red Book Report of the Committee on Infectious...|David W. Kimberlin MD  FAAP and Sarah S. Long MD  FAAP|May 1, 2015||
One Nation Under God: How Corporate America Invented Christian America|Kevin M. Kruse|Apr 14, 2015|4.4|56
A Girl and Her Greens: Hearty Meals from the Garden|April Bloomfield and Goode, JJ, EdD.|Apr 21, 2015|4.1|14
The Guest Cottage: A Novel|Nancy Thayer|May 12, 2015|4.4|149
Whole Brain Teaching:  122 Amazing Games!: Challenging kids, classroom management, writing, reading, math, Common...|Chris Biffle|May 23, 2015|5|8
Rock with Wings (Leaphorn and Chee Mysteries)|Anne Hillerman|May 5, 2015|4.2|271
Drawn & Quarterly: Twenty-five Years of Contemporary Cartooning, Comics, and Graphic Novels|Tom Devlin|Jun 2, 2015|4.7|3
The Good Gut: Taking Control of Your Weight, Your Mood, and Your Long-term Health|Justin Sonnenburg and Erica Sonnenburg|Apr 21, 2015|4.7|41
Magic Tree House #53: Shadow of the Shark (A Stepping Stone Book(TM))|Mary Pope Osborne and Sal Murdocca|Jun 23, 2015||Children's Historical Fiction
Colorless Tsukuru Tazaki and His Years of Pilgrimage|Haruki Murakami and Philip Gabriel|May 5, 2015|4.1|757
Rude Cakes|Rowboat Watkins|Jun 2, 2015|5|9
Crazy Sexy Love Notes: A 52-Card Deck|Kris Carr|May 5, 2015|4.8|36
The Opposite of Loneliness: Essays and Stories|Marina Keegan and Anne Fadiman|Apr 14, 2015|4.2|258
How to Read a Story|Kate Messner and Mark Siegel|May 5, 2015|5|5
Valley of the Shadow: A Novel|Ralph Peters|May 5, 2015|4.6|72
Middle School: Just My Rotten Luck|James Patterson and Chris Tebbetts|Jun 22, 2015|5|1
The Enemy Inside: A Paul Madriani Novel|Steve Martini|May 12, 2015|4.2|92
Rose Water and Orange Blossoms: Fresh & Classic Recipes from my Lebanese Kitchen|Maureen Abood|Apr 28, 2015|4.9|23
Oh Crap! Potty Training: Everything Modern Parents Need to Know  to Do It Once and Do It Right|Jamie Glowacki|Jun 16, 2015|5|32
Hadoop: The Definitive Guide|Tom White|Apr 11, 2015|4.7|3
Fat Girl Walking: Sex, Food, Love, and Being Comfortable in Your Skin...Every Inch of It|Brittany Gibbons|May 19, 2015|4.9|201
My New Roots: Inspired Plant-Based Recipes for Every Season|Sarah Britton|Mar 31, 2015|4.6|66
An Astronaut's Guide to Life on Earth: What Going to Space Taught Me About Ingenuity, Determination, and Being...|Chris Hadfield|Apr 14, 2015|4.6|477
The Ultimate Scholarship Book 2016: Billions of Dollars in Scholarships, Grants and Prizes (Ultimate Scholarship...|Gen Tanabe and Kelly Tanabe|Jun 9, 2015|4|4
The Ten Commandments: Still the Best Moral Code|Dennis Prager|Mar 30, 2015|4.7|164
How Not to Be Wrong: The Power of Mathematical Thinking|Jordan Ellenberg|May 26, 2015|4.2|203
Carson Dellosa Common Core 4 Today Workbook, Math, Grade 2, 96 Pages (CDP104591)|Erin McCarth|May 1, 2013|4.5|63
The Beetlebung Farm Cookbook: A Year of Cooking on Martha's Vineyard|Chris Fischer and Catherine Young|Jun 2, 2015|5|6
The Book of Life: A Novel (All Souls Trilogy)|Deborah Harkness|May 26, 2015|4.6|3,898
The Great Divorce|C. S. Lewis|Apr 21, 2015|4.6|900
Endurance: Shackleton's Incredible Voyage|Alfred Lansing|Apr 28, 2015|4.8|1,472
81 Days Below Zero: The Incredible Survival Story of a World War II Pilot in Alaska's Frozen Wilderness|Brian Murph|Jun 2, 2015|4|6
The Best Mexican Recipes|Editors at America's Test Kitchen|Apr 15, 2015|4.9|23
What the Mystics Know: Seven Pathways to Your Deeper Self|Richard Rohr|May 1, 2015|4.2|21
Off the Page|Jodi Picoult and Samantha van Leer|May 19, 2015|4.1|36
RHCSA & RHCE Red Hat Enterprise Linux 7: Training and Exam Preparation Guide (EX200 and EX300), Third Edition|Asghar Ghori|Mar 27, 2015|4.8|11
The Daemon Knows: Literary Greatness and the American Sublime|Harold Bloom|May 12, 2015|4|5
Superfood Snacks: 100 Delicious, Energizing & Nutrient-Dense Recipes|Julie Morris|May 5, 2015|4.9|14
Creative Haven Magnificent Mehndi Designs Coloring Book (Creative Haven Coloring Books)|Marty Noble|Jun 17, 2015|5|9
The Lady in Gold: The Extraordinary Tale of Gustav Klimt's Masterpiece, Portrait of Adele Bloch-Bauer|Anne-Marie O'Connor|Mar 31, 2015|4.3|456
Cracking the GRE Premium Edition with 6 Practice Tests, 2016 (Graduate School Test Preparation)|Princeton Review|Jun 2, 2015|3|1
Inside the O'Briens: A Novel|Lisa Genova|Apr 7, 2015|4.3|441
Legend: A Harrowing Story from the Vietnam War of One Green Beret's Heroic Mission to Rescue a Special Forces...|Eric Blehm|Apr 28, 2015|4.7|87
Only a Promise: A Survivors' Club Novel|Mary Balogh|Jun 9, 2015|4.6|104
To Kill a Mockingbird|Harper Lee|May 21, 2015|5|2
2015 / 2016 ASVAB For Dummies|Rod Powers|Jun 2, 2015|5|1
Faith Versus Fact: Why Science and Religion Are Incompatible|Jerry A. Coyne|May 19, 2015|4.2|51
Holacracy: The New Management System for a Rapidly Changing World|Brian J. Robertson|Jun 2, 2015|4.8|4
The Nurses: A Year of Secrets, Drama, and Miracles with the Heroes of the Hospital|Alexandra Robbins|Apr 14, 2015|4.1|86
Jonathan Strange and Mr Norrell|Susanna Clarke|May 26, 2015|3.9|1,234
Circus Mirandus|Cassie Beasle|Jun 2, 2015|4.7|34
Owl Diaries #2: Eva Sees a Ghost (A Branches Book)|Rebecca Elliott|May 26, 2015|5|13
The Eclectic Owl: An Adult Coloring Book (Eclectic Coloring Books) (Volume 1)|G. T. Haddix|Mar 29, 2015|4.4|27
The Sprouted Kitchen Bowl and Spoon: Simple and Inspired Whole Foods Recipes to Savor and Share|Sara Forte and Hugh Forte|Mar 31, 2015|4.3|44
The Green Road: A Novel|Anne Enright|May 11, 2015|3.7|37
Southern Living A Southern Gentleman's Kitchen: Adventures in Cooking, Eating, and Living in the New South|Matt Moore|Apr 28, 2015|4.9|41
Every Fifteen Minutes|Lisa Scottoline|Apr 14, 2015|4.2|584
A Fine Romance|Candice Bergen|Apr 7, 2015|4.1|340
Goldman-Cecil Medicine,  2-Volume Set, 25e (Cecil Textbook of Medicine)|Lee Goldman MD and Andrew I. Schafer MD|May 11, 2015|5|5
Dreamland: The True Tale of America's Opiate Epidemic|Sam Quinones|Apr 21, 2015|4.7|63
My Paleo Patisserie: An Artisan Approach to Grain Free Baking|Jenni Hulet and Danielle Walker|Apr 7, 2015|4.9|99
Whatever After #7: Beauty Queen|Sarah Mlynowski|Apr 28, 2015|5|27
Why Information Grows: The Evolution of Order, from Atoms to Economies|Cesar Hidalgo|Jun 2, 2015|4.7|6
Early Warning: A novel|Jane Smile|Apr 28, 2015|4|104
Things You Won't Say: A Novel|Sarah Pekkanen|May 26, 2015|4.2|26
FE Electrical and Computer Review Manual|Michael R. Lindeburg PE|Apr 14, 2015|4.4|11
Arms and the Dudes: How Three Stoners from Miami Beach Became the Most Unlikely Gunrunners in History|Guy Lawson|Jun 9, 2015|4.4|7
Making Number Talks Matter: Developing Mathematical Practices and Deepening Understanding, Grades 4-10|Cathy Humphreys and Ruth Parker|Apr 28, 2015|5|5
Jurassic World Dinosaur Field Guide (Jurassic World)|Dr. Thomas R. Holtz Jr. and Dr. Michael Brett-Surman|May 5, 2015|4.5|10
A Taste of Cowboy: Ranch Recipes and Tales from the Trail|Kent Rollins and Shannon Rollins|Apr 7, 2015|4.8|102
Sesame Street Let's Cook!|Sesame Workshop and Susan McQuillan|May 12, 2015|5|3
Kaplan ASVAB Premier 2016 with 6 Practice Tests: Book + Online (Kaplan Test Prep)|Kaplan|Jun 2, 2015|5|5
No Excuses Watercolor: Painting Techniques for Sketching and Journaling|Gina Rossi Armfield|Jun 16, 2015|4.7|7
FIFA Women's World Cup Canada 2015: The Official Book|Catherine Etoe and Jen ONeill|May 5, 2015|4.7|6
Pardon My Hearse: A Colorful Portrait of Where the Funeral and Entertainment Industries Met in Hollywood|Allan Abbott and Greg Abbott|Jun 15, 2015|4|10
Batman Vol. 6: Graveyard Shift (The New 52)|Scott Snyder and James Tynion IV|May 5, 2015|3.8|17
Batman Vol. 5: Zero Year - Dark City (The New 52) (Batman (DC Comics Paperback))|Scott Snyder and James Tynion IV|May 5, 2015|4.5|72
One Spirit Medicine: Ancient Ways to Ultimate Wellness|Alberto Villoldo Ph.D.|May 5, 2015|4.6|30
The Book of Speculation: A Novel|Erika Swyler|Jun 23, 2015|3.8|36
5 lb. Book of GRE Practice Problems, 2nd Edition (Instructional Guide Series)|Manhattan Prep|Jun 2, 2015|4.9|8
Keep Your Love On: Connection Communication And Boundaries|Danny Silk|Apr 21, 2015|4.9|499
The Argonauts|Maggie Nelson|May 5, 2015|4.1|9
A Snicker of Magic|Natalie Lloyd|Apr 28, 2015|4.8|99
Chasing Sunsets: A Novel (Angels Walking)|Karen Kingsbur|Apr 7, 2015|4.9|427
The Primal Low-Carb Kitchen: Comfort Food Recipes for the Carb Conscious Cook|Kyndra Holle|Jun 2, 2015|4.8|47
Dirty, Sexy, Funny Astrology|Sabra Ricci and Jenny McCarth|Apr 22, 2015|4.4|13
Strong Mothers, Strong Sons: Lessons Mothers Need to Raise Extraordinary Men|Meg Meeker M.D.|Apr 7, 2015|4.7|83
Natchez Burning: A Novel (Penn Cage Novels)|Greg Iles|Mar 31, 2015|4.3|3,653
Cupcakes and Cashmere at Home|Emily Schuman|May 19, 2015|2.7|55
Jonas Salk: A Life|Charlotte DeCroes Jacobs|May 19, 2015|5|5
The Royal We|Heather Cocks and Jessica Morgan|Apr 7, 2015|4.4|247
The Noonday Demon: An Atlas of Depression|Andrew Solomon|May 19, 2015|4.3|291
Big Data: Principles and best practices of scalable realtime data systems|Nathan Marz and James Warren|May 10, 2015|4.9|10
Book Scavenger|Jennifer Chambliss Bertman|Jun 2, 2015|5|9
Words Without Music: A Memoir|Philip Glass|Apr 6, 2015|4.7|34
Peaceful Parent, Happy Siblings: How to Stop the Fighting and Raise Friends for Life|Dr. Laura Markham|May 5, 2015|4.5|13
The Diver's Clothes Lie Empty: A Novel|Vendela Vida|Jun 2, 2015|3|9
East of West Volume 4: Who Wants War? TP|Jonathan Hickman and Clayton Hickman|Jun 23, 2015|5|1
The Precipice: A Novel (Mike Bowditch Mysteries)|Paul Doiron|Jun 16, 2015|5|4
Rand McNally 2016 EasyFinder® Midsize Road Atlas (Rand Mcnally Road Atlas Midsize Easy to Read)|Rand McNall|Apr 17, 2015|4.1|17
Face the Fire: Three Sisters Island Trilogy #3|Nora Roberts|Jun 2, 2015|4.3|433
People Over Profit: Break the System, Live with Purpose, Be More Successful|Dale Partridge and Blake Mycoskie|May 5, 2015|5|163
End of Days (Penryn & the End of Days Series)|Susan Ee|May 12, 2015|4.3|
Taking a Stand: Moving Beyond Partisan Politics to Unite America|Rand Paul|May 26, 2015|4.6|34
Dealing with China: An Insider Unmasks the New Economic Superpower|Henry M. Paulson|Apr 14, 2015|4.3|33
The Fall: A Novel|John Lescroart|May 5, 2015|4.4|196
Spirit Animals Book 7: The Evertree|Marie Lu|Mar 31, 2015|4.9|55
Henry Howard: Louisiana's Architect|Robert S. Brantley and Jan White Brantle|Jun 9, 2015|5|2
The Third Plate: Field Notes on the Future of Food|Dan Barber|Apr 7, 2015|4.6|126
Act of War: A Thriller (The Scot Harvath Series)|Brad Thor|May 26, 2015|4.3|2,831
Invasion of Privacy: A Novel|Christopher Reich|Jun 16, 2015|4.1|25
Thor Volume 1: Goddess of Thunder (Thor: Marvel Now!)|Jason Aaron and Russell Dauterman|May 26, 2015|3.4|25
Orient: A Novel|Christopher Bollen|May 5, 2015|3.9|50
We Are Not Ourselves: A Novel|Matthew Thomas|Jun 2, 2015|3.9|955
The Exhaustion Breakthrough: Unmask the Hidden Reasons You're Tired and Beat Fatigue for Good|Holly Phillips|Jun 2, 2015|3.3|3
No Sweat: How the Simple Science of Motivation Can Bring You a Lifetime of Fitness|Michelle Segar PhD.|Jun 10, 2015|4.9|54
Dreams to Remember: Otis Redding, Stax Records, and the Transformation of Southern Soul|Mark Ribowsk|Jun 1, 2015|3.7|6
Very Good Lives: The Fringe Benefits of Failure and the Importance of Imagination|J. K. Rowling and Joel Holland|Apr 14, 2015|4|65
Truly Free: Breaking the Snares That So Easily Entangle|Robert Morris|May 12, 2015|4.7|44
So You've Been Publicly Shamed|Jon Ronson|Mar 31, 2015|4.3|179
Naruto, Vol. 70|Masashi Kishimoto|Jun 2, 2015|4.9|8
The Unstoppable Writing Teacher: Real Strategies for the Real Classroom|M. Colleen Cruz|May 12, 2015|5|1
Deep South Dish: Homestyle Southern Recipes (Best of the Best Presents)|Mary Foreman|May 1, 2015|4.8|39
Perdón (Forgiveness Spanish edition)|Chiquis Rivera|Apr 7, 2015|4.7|175
Popular Economics: What the Rolling Stones, Downton Abbey, and LeBron James Can Teach You about Economics|John Tamn|Apr 13, 2015|4.5|67
Dietland|Sarai Walker|May 26, 2015|3.4|79
Benu|Corey Lee and Thomas Keller|Apr 20, 2015|4.4|18
Nimona|Noelle Stevenson|May 12, 2015|4.8|45
The Ultimate Betrayal (A Reverend Curtis Black Novel)|Kimberla Lawson Ro|Jun 9, 2015|4.6|63
Fast N' Loud: Blood, Sweat and Beers|Richard Rawlings and Mark Dagostino|May 12, 2015|4.8|46
The Ghost in My Brain: How a Concussion Stole My Life and How the New Science of Brain Plasticity Helped Me Get...|Clark Elliott|Jun 2, 2015|4|26
Spider-Verse|Dan Slott and Christos Gage|May 12, 2015|3.2|23
Master the Catholic High School Entrance Exams 2016-2017|Peterson's|Mar 31, 2015|4|1
Ever After: A Nantucket Brides Novel (Nantucket Brides Trilogy)|Jude Deveraux|Jun 23, 2015|4.4|34
The Great Divide: Unequal Societies and What We Can Do About Them|Joseph E. Stiglitz|Apr 20, 2015|4|28
Cracking the SSAT & ISEE, 2016 Edition (Private Test Preparation)|Princeton Review|Jun 2, 2015|4|1
Daughters of the Samurai: A Journey from East to West and Back|Janice P. Nimura|May 4, 2015|4.8|19
Batman: Arkham Knight Signature Series Guide|BradyGames|Jun 23, 2015||
The Vilna Vegetarian Cookbook: Garden-Fresh Recipes Rediscovered and Adapted for Today's Kitchen|Fania Lewando and Eve Jochnowitz|May 26, 2015|4.5|10
The Dorito Effect: The Surprising New Truth About Food and Flavor|Mark Schatzker|May 5, 2015|4.9|28
Empire of Deception: The Incredible Story of a Master Swindler Who Seduced a City and Captivated the Nation|Dean Jo|May 19, 2015|4.3|16
The Light of the World: A Memoir|Elizabeth Alexander|Apr 21, 2015|4.7|50
10-Minute Declutter: The Stress-Free Habit for Simplifying Your Home|S.J. Scott and Barrie Davenport|May 29, 2015|4.7|
Selfish, Shallow, and Self-Absorbed: Sixteen Writers on the Decision Not to Have Kids|Meghan Daum|Mar 31, 2015|4.4|34
Harry Potter: Magical Places from the Films: Hogwarts, Diagon Alley, and Beyond|Jody Revenson|May 12, 2015|4.8|24
Modern Homebrew Recipes: Exploring Styles and Contemporary Techniques|Gordon Strong|Jun 15, 2015|4.8|5
Independence Day: A Dewey Andreas Novel|Ben Coes|May 26, 2015|4.7|150
Strangers in the Bronx: DiMaggio, Mantle, and the Changing of the Yankee Guard|Andrew O'Toole and Marty Appel|Jun 1, 2015|4.5|4
Loving Day: A Novel|Mat Johnson|May 26, 2015|4|25
Water from My Heart: A Novel|Charles Martin|May 19, 2015|4.9|198
Mermaids - Calm Ocean Coloring Collection (Fantasy Art Coloring by Selina) (Volume 2)|Selina Fenech|May 31, 2015|4.6|5
The Wrath and the Dawn|Renée Ahdieh|May 12, 2015|4.4|92
LAPD '53|James Ellroy and Los Angeles Police Museum|May 19, 2015|3.4|16
The Good, the Bad, and the Grace of God: What Honesty and Pain Taught Us About Faith, Family, and Forgiveness|Jep and Jessica Robertson and Susy Flor|Jun 23, 2015|4|3
A Guide Book of United States Coins 2016|Kenneth Bressett and R. S. Yeoman|Apr 7, 2015|4.8|47
Evil Spy School|Stuart Gibbs|Apr 21, 2015|5|40
Digital Gold: Bitcoin and the Inside Story of the Misfits and Millionaires Trying to Reinvent Money|Nathaniel Popper|May 19, 2015|4.8|27
The Runaway Bride: Are you living for Jesus or are you running from Him?|Heather Lindse|May 1, 2015|4.9|
Move: Putting America's Infrastructure Back in the Lead|Rosabeth Moss Kanter|May 11, 2015|4.8|4
